,date,declarationDate,recordDate,paymentDate,period,value,unadjustedValue,currency
0,2001-04-25,,,,,0.13129,0.21001,EUR
1,2002-05-02,,,,,0.1813,0.29,EUR
2,2003-04-30,,,,,0.20631,0.33,EUR
3,2004-04-28,,,,,0.22506,0.36,EUR
4,2005-04-27,,,,,0.24382,0.39,EUR
5,2006-04-26,,,,,0.30008,0.47999,EUR
6,2007-04-25,,,,,0.45013,0.72001,EUR
7,2008-04-30,,,,,1.52543,2.44001,EUR
8,2008-11-25,,,,,13.04,20.85817,EUR
9,2009-04-29,,,,,0.28,0.28,EUR
10,2010-04-28,,,,,0.38,0.38,EUR
11,2011-04-27,,,,,0.8,0.8,EUR
12,2012-04-27,,,,,1.2,1.2,EUR
13,2013-04-26,2013-04-24,,2013-05-02,Final,1.7,1.7,EUR
14,2013-11-13,2013-11-05,,2013-11-18,Interim,0.6,0.6,EUR
15,2014-05-05,2014-04-30,,2014-05-08,Final,1.45,1.45,EUR
16,2014-11-12,2014-11-03,,2014-11-14,Interim,1.0,1.0,EUR
17,2015-05-04,,,2015-05-06,Final,2.0,2.0,EUR
18,2015-11-12,,,2015-11-16,Interim,1.6,1.6,EUR
19,2016-04-29,,,2016-05-03,Final,2.0,2.0,EUR
20,2016-11-15,2016-10-28,,2016-11-17,Interim,1.6,1.6,EUR
21,2017-05-02,2017-03-02,,2017-05-04,Final,2.0,2.0,EUR
22,2017-11-14,2017-10-26,,2017-11-16,Interim,1.6,1.6,EUR
23,2018-04-30,2018-03-01,,2018-05-03,Final,2.0,2.0,EUR
24,2018-11-27,2018-10-25,,2018-11-29,Interim,0.8,0.8,EUR
25,2019-05-07,2019-02-28,,2019-05-09,Final,1.0,1.0,EUR
26,2019-11-19,2019-10-25,,2019-11-21,Interim,0.8,0.8,EUR
27,2020-06-09,2020-02-27,,2020-06-11,Final,0.5,0.5,EUR
28,2021-05-04,2021-02-25,,2021-05-06,Final,0.5,0.5,EUR
29,2022-05-03,2022-04-27,,2022-05-05,Final,0.5,0.5,EUR
30,2023-05-03,2023-03-02,,2023-05-05,Final,0.75,0.75,EUR
31,2024-05-03,2024-02-29,,2024-05-07,Final,0.82,0.82,EUR
32,2025-05-06,2025-02-26,,2025-05-08,Interim,1.0,1.0,EUR
