,date,declarationDate,recordDate,paymentDate,period,franking,value,unadjustedValue,currency
0,2000-02-17,,,2000-03-31,Interim,100%,0.57687,0.57687,AUD
1,2000-09-04,,,2000-10-09,Final,100%,0.71612,0.71612,AUD
2,2001-02-19,,,2001-03-30,Interim,100%,0.60671,0.60671,AUD
3,2001-08-27,,,2001-10-08,Final,100%,0.74596,0.74596,AUD
4,2002-02-18,,,2002-03-28,Interim,100%,0.67634,0.67634,AUD
5,2002-08-26,,,2002-10-08,Final,100%,0.81558,0.81558,AUD
6,2003-02-17,,,2003-03-28,Interim,100%,0.68628,0.68628,AUD
7,2003-08-25,,,2003-10-08,Final  Dividend,0%,0.84542,0.84542,AUD
8,2004-02-16,,,2004-03-30,Interim,100%,0.78574,0.78574,AUD
9,2004-08-16,,,2004-09-24,Final,100%,1.0344,1.0344,AUD
10,2005-02-14,,,2005-03-31,Interim,100%,0.84542,0.84542,AUD
11,2005-08-15,,,2005-09-23,Final,100%,1.11397,1.11397,AUD
12,2006-02-20,,,2006-04-05,Interim,100%,0.93494,0.93494,AUD
13,2006-08-14,,,2006-10-05,Final  Dividend,0%,1.293,1.293,AUD
14,2007-02-19,,,2007-04-05,Interim,100%,1.06423,1.06423,AUD
15,2007-08-20,,,2007-10-05,Final,100%,1.48197,1.48197,AUD
16,2008-02-18,,,2008-04-02,Interim,100%,1.12391,1.12391,AUD
17,2008-08-18,,,2008-10-01,Final,100%,1.52176,1.52176,AUD
18,2009-02-16,,,2009-03-23,Interim,100%,1.12391,1.12391,AUD
19,2009-08-17,,,2009-10-01,Final,100%,1.1438,1.1438,AUD
20,2010-02-15,,,2010-04-01,Interim,100%,1.19353,1.19353,AUD
21,2010-08-16,,,2010-10-01,Final,100%,1.69084,1.69084,AUD
22,2011-02-14,,,2011-04-01,Interim,100%,1.31289,1.31289,AUD
23,2011-08-15,,,2011-10-06,Final,100%,1.86987,1.86987,AUD
24,2012-02-20,,,2012-04-05,Interim,100%,1.36262,1.36262,AUD
25,2012-08-20,,,2012-10-05,Final,100%,1.95938,1.95938,AUD
26,2013-02-18,,,2013-04-05,Interim,100%,1.63116,1.63116,AUD
27,2013-08-19,,,2013-10-03,Final,100%,1.98922,1.98922,AUD
28,2014-02-17,,,2014-04-03,Interim,100%,1.82014,1.82014,AUD
29,2014-08-19,,,2014-10-02,Interim,100%,2.16825,2.16825,AUD
30,2015-02-17,,,2015-04-02,Final,100%,1.96933,1.96933,AUD
31,2015-08-18,,,2015-10-01,Interim,100%,2.22,2.22,AUD
32,2016-02-16,,,2016-03-31,Final,100%,1.98,1.98,AUD
33,2016-08-17,,,2016-09-29,Interim,100%,2.22,2.22,AUD
34,2017-02-22,,,2017-04-04,Final,100%,1.99,1.99,AUD
35,2017-08-16,,,2017-09-29,Interim,100%,2.3,2.3,AUD
36,2018-02-14,,,2018-03-28,Final,100%,2.0,2.0,AUD
37,2018-08-15,,,2018-09-28,Interim,100%,2.31,2.31,AUD
38,2019-02-13,,,2019-03-28,Final,100%,2.0,2.0,AUD
39,2019-08-14,,,2019-09-26,Interim,100%,2.31,2.31,AUD
40,2020-02-19,,,2020-03-31,Final,100%,2.0,2.0,AUD
41,2020-08-19,,,2020-09-30,Interim,100%,0.98,0.98,AUD
42,2021-02-16,,,2021-03-30,Final,100%,1.5,1.5,AUD
43,2021-08-17,,,2021-09-29,Interim,100%,2.0,2.0,AUD
44,2022-02-16,,,2022-03-30,Final,100%,1.75,1.75,AUD
45,2022-08-17,,,2022-09-29,Interim,100%,2.1,2.1,AUD
46,2023-02-22,,,2023-03-30,Final,100%,2.1,2.1,AUD
47,2023-08-16,,,2023-09-28,Interim,100%,2.4,2.4,AUD
48,2024-02-21,,,2024-03-28,Final,100%,2.15,2.15,AUD
49,2024-08-21,,,2024-09-27,Interim,100%,2.5,2.5,AUD
50,2025-02-19,,,2025-03-28,Final,100%,2.25,2.25,AUD
51,2025-08-20,,,2025-09-29,Interim,100%,2.6,2.6,AUD
