Date,Dividends
2011-08-11 00:00:00+08:00,0.11
2012-05-10 00:00:00+08:00,0.22
2012-08-09 00:00:00+08:00,0.1233
2013-05-14 00:00:00+08:00,0.2467
2013-08-08 00:00:00+08:00,0.1393
2014-05-13 00:00:00+08:00,0.2862
2014-08-12 00:00:00+08:00,0.16
2015-05-12 00:00:00+08:00,0.34
2015-08-11 00:00:00+08:00,0.1872
2016-05-10 00:00:00+08:00,0.51
2016-08-12 00:00:00+08:00,0.219
2017-05-16 00:00:00+08:00,0.6375
2017-08-14 00:00:00+08:00,0.2562
2018-05-23 00:00:00+08:00,0.7438
2018-09-10 00:00:00+08:00,0.292
2019-05-21 00:00:00+08:00,0.848
2019-09-09 00:00:00+08:00,0.333
2020-06-03 00:00:00+08:00,0.933
2020-09-07 00:00:00+08:00,0.35
2021-05-25 00:00:00+08:00,1.003
2021-09-02 00:00:00+08:00,0.38
2022-05-24 00:00:00+08:00,1.08
2022-09-09 00:00:00+08:00,0.4028
2023-05-23 00:00:00+08:00,1.134
2023-09-11 00:00:00+08:00,0.4229
2024-05-29 00:00:00+08:00,1.1907
2024-09-09 00:00:00+08:00,0.445
2025-05-28 00:00:00+08:00,1.3098
2025-09-05 00:00:00+08:00,0.49
